,precision,recall,f1-score,support
critical_emergency,0.27717391304347827,0.4411764705882353,0.3404539385847797,4046.0
high,0.2396365701306076,0.1029519394974384,0.1440273037542662,4099.0
info,0.19795943760109494,0.43889655172413794,0.27285199794203396,3625.0
low,0.18936341659951653,0.05728912725499756,0.08796556241811716,4102.0
medium,0.20547401824672748,0.125484496124031,0.1558129041961197,4128.0
accuracy,0.22755,0.22755,0.22755,0.22755
macro avg,0.22192147112428495,0.23315971703776803,0.20022234137906336,20000.0
weighted avg,0.22231421983284755,0.22755,0.19804817258516635,20000.0
