,0,1,2,3,4,5
0,1207,501,300,934,411,189
1,0,504,0,0,0,0
2,1256,519,416,1085,481,342
3,1211,0,449,1156,484,325
4,1219,477,482,1119,506,299
5,1256,522,460,1080,472,338
