,0,1,2,3,4,5
0,1176,501,331,785,539,210
1,0,504,0,0,0,0
2,1217,519,502,957,568,336
3,1138,0,536,1017,579,355
4,1214,477,525,1000,576,310
5,1200,522,527,946,581,352
