,precision,recall,f1-score,support
critical,0.19897134459955915,0.38226990400903443,0.26171837247511354,3542.0
emergency,0.2100456621004566,0.36507936507936506,0.26666666666666666,504.0
high,0.23416370106761566,0.08026347889729202,0.11954941860465117,4099.0
info,0.20384294068504594,0.2692413793103448,0.23202187091406157,3625.0
low,0.20238095238095238,0.12847391516333495,0.15717268118103192,4102.0
medium,0.21493469619534356,0.18338178294573643,0.19790849673202615,4128.0
accuracy,0.20635,0.20635,0.20635,0.20635
macro avg,0.21072321617149556,0.2347849709008513,0.20583958442892517,20000.0
weighted avg,0.21134021397453806,0.20635,0.19271037184725937,20000.0
