,0,1,2,3,4,5
0,1354,179,77,881,468,583
1,104,184,13,0,61,142
2,1400,168,329,985,483,734
3,1196,0,337,976,521,595
4,1393,158,332,981,527,711
5,1358,187,317,965,544,757
