,precision,recall,f1-score,support
critical,0.19893159911740796,0.4836250705815923,0.2819057022957295,3542.0
emergency,0.19976218787158145,1.0,0.3330029732408325,504.0
high,0.2203765227021041,0.0485484264454745,0.07956817273090763,4099.0
info,0.22162243214874794,0.40772413793103446,0.28715756751505733,3625.0
low,0.21551724137931033,0.042662116040955635,0.07122507122507123,4102.0
medium,0.24066390041493776,0.02810077519379845,0.05032537960954447,4128.0
accuracy,0.20925,0.20925,0.20925,0.20925
macro avg,0.21614564727234822,0.3351100876988093,0.18386414443619045,20000.0
weighted avg,0.2194756427453533,0.20925,0.1516674013752184,20000.0
