,0,1,2,3,4,5
0,1713,501,122,1068,136,2
1,0,504,0,0,0,0
2,1732,519,199,1364,145,140
3,1675,0,176,1478,177,119
4,1704,477,204,1437,175,105
5,1787,522,202,1322,179,116
