,precision,recall,f1-score,support
critical,0.1982642835003616,0.5417843026538679,0.29029574162317523,3542.0
emergency,0.0,0.0,0.0,504.0
high,0.22850804215196893,0.10051232007806782,0.13961369027448323,4099.0
info,0.21127673363577446,0.35972413793103447,0.266203939981627,3625.0
low,0.19020172910662825,0.08044856167723062,0.1130717834504026,4102.0
medium,0.24549918166939444,0.036337209302325583,0.06330449461911795,4128.0
accuracy,0.20575,0.20575,0.20575,0.20575
macro avg,0.17895832834402126,0.1864677552737544,0.14541494165813432,20000.0
weighted avg,0.20992064155477666,0.20575,0.16453173625995307,20000.0
