,precision,recall,f1-score,support
critical_emergency,0.27613565650280025,0.43870489372219473,0.3389345044873019,4046.0
high,0.23101490418736692,0.15881922420102465,0.1882318924389186,4099.0
info,0.2073510030751208,0.39062068965517244,0.2709010904916778,3625.0
low,0.19150285351934052,0.07362262311067772,0.10635675294946294,4102.0
medium,0.20570698466780238,0.11700581395348837,0.14916615194564545,4128.0
accuracy,0.23135,0.23135,0.23135,0.23135
macro avg,0.22234228039048615,0.2357546489285116,0.21071807846260135,20000.0
weighted avg,0.22252627412333414,0.23135,0.20884706305627024,20000.0
