,precision,recall,f1-score,support
critical,0.19629208001301024,0.34076792772444947,0.24909710040243524,3542.0
emergency,0.19976218787158145,1.0,0.3330029732408325,504.0
high,0.19743711438063596,0.10148816784581605,0.13406380921688688,4099.0
info,0.21510978786751023,0.31889655172413794,0.25691743527058564,3625.0
low,0.21495327102803738,0.12335446123842028,0.1567534076827757,4102.0
medium,0.22638981915606163,0.08187984496124032,0.12026329834549013,4128.0
accuracy,0.20635,0.20635,0.20635,0.20635
macro avg,0.2083240433861395,0.32773115891567733,0.20834967069316768,20000.0
weighted avg,0.21006449470962713,0.20635,0.18352190294298132,20000.0
