,precision,recall,f1-score,support
critical_emergency,0.27179948971934564,0.4476025704399407,0.33822018862638903,4046.0
high,0.21590486807878112,0.1417418882654306,0.1711340206185567,4099.0
info,0.21141688359985125,0.3136551724137931,0.2525824725091636,3625.0
low,0.21528013582342953,0.1545587518283764,0.17993472399602667,4102.0
medium,0.21179509255273354,0.11918604651162791,0.1525344907766238,4128.0
accuracy,0.23275,0.23275,0.23275,0.23275
macro avg,0.22523929395482822,0.23534888589183373,0.21888117930535195,20000.0
weighted avg,0.2254225125957125,0.23275,0.21766416561505786,20000.0
