,precision,recall,f1-score,support
critical_emergency,0.27447069653267875,0.44216510133465153,0.33869746308216586,4046.0
high,0.23212818405916189,0.13783849719443766,0.17296800857186592,4099.0
info,0.20736906211936662,0.3757241379310345,0.26724222505641126,3625.0
low,0.19103568320278502,0.10702096538274013,0.1371875,4102.0
medium,0.20485792850595783,0.10828488372093023,0.1416798732171157,4128.0
accuracy,0.2301,0.2301,0.2301,0.2301
macro avg,0.22197231088399003,0.2342067171127588,0.21155501398551174,20000.0
weighted avg,0.22214983080914225,0.2301,0.2097858255118133,20000.0
