,0,1,2,3,4,5
0,1078,28,581,224,990,641
1,122,38,94,0,109,141
2,1056,40,737,360,1080,826
3,897,0,709,335,1030,654
4,1042,16,760,367,1093,824
5,1066,37,744,342,1135,804
