,precision,recall,f1-score,support
critical,0.2049040106443642,0.30434782608695654,0.24491650573668067,3542.0
emergency,0.2389937106918239,0.07539682539682539,0.11463046757164404,504.0
high,0.2033103448275862,0.1797999512076116,0.19083376488865872,4099.0
info,0.20577395577395577,0.09241379310344827,0.12754616409670663,3625.0
low,0.20102997976825454,0.2664553876157972,0.22916448265017297,4102.0
medium,0.20668380462724936,0.19476744186046513,0.2005487652781242,4128.0
accuracy,0.20425,0.20425,0.20425,0.20425
macro avg,0.21011596772220564,0.18553020421185065,0.18460669170366453,20000.0
weighted avg,0.20516691257652742,0.20425,0.1968874238501856,20000.0
