,precision,recall,f1-score,support
critical_emergency,0.23897444166733856,0.7325753830944143,0.3603866496443553,4046.0
high,0.21141975308641975,0.06684557209075384,0.10157553290083411,4099.0
info,0.22359154929577466,0.03503448275862069,0.060577152396851894,3625.0
low,0.20481927710843373,0.03315455875182838,0.0570709190096517,4102.0
medium,0.21187610968632867,0.2601744186046512,0.23355441991953899,4128.0
accuracy,0.22875,0.22875,0.22875,0.22875
macro avg,0.21813622616885908,0.22555688306005367,0.1626329347742464,20000.0
weighted avg,0.21794063902842148,0.22875,0.16461461132328084,20000.0
