,precision,recall,f1-score,support
critical_emergency,0.2711598746081505,0.3848245180425111,0.3181446669391091,4046.0
high,0.2010443864229765,0.16906562576238107,0.1836734693877551,4099.0
info,0.20284900284900284,0.19641379310344828,0.19957953749124036,3625.0
low,0.20516641828117238,0.20136518771331058,0.203248031496063,4102.0
medium,0.20274809160305343,0.16085271317829458,0.1793867351073889,4128.0
accuracy,0.2226,0.2226,0.2226,0.2226
macro avg,0.21659355475287115,0.22250436755998915,0.2168064880843113,20000.0
weighted avg,0.21675290989333834,0.2226,0.21688992822909708,20000.0
